Type,Profit,Run up,Drawdown
SELL,0.0842,0.1961,-0.01206
BUY,-0.0066,0.0042,-0.0094
SELL,-0.0038,0.0512,-0.0039
BUY,-0.0379,0.0647,-0.0389
SELL,-0.0683,0.0715,-0.0728
BUY,0.004,0.1511,-0.0489
SELL,-0.0101,0.0124,-0.0095
BUY,-0.0276,0.0079,-0.028
SELL,-0.0294,0.0266,-0.0508
BUY,-0.0137,0.0008,-0.0143
SELL,-0.0111,0.0007,-0.0119
BUY,0.5117,0.7225,-0.0037
SELL,-0.0029,0.1615,-0.071
BUY,0.0887,0.2021,-0.1008
SELL,-0.0494,0.0503,-0.0738
BUY,-0.0157,0.0199,-0.0168
SELL,0.0487,0.1281,-0.0106
BUY,0.0667,0.0979,-0.0189
SELL,-0.0039,0.0039,-0.0038
BUY,-0.0029,0.0159,-0.0027
SELL,0.0007,0.0385,-0.0064
BUY,-0.0177,0.0151,-0.0213
SELL,-0.003,0.0383,-0.0174
BUY,0.0667,0.1234,-0.0065
SELL,-0.0097,0.0263,-0.0142
BUY,-0.0083,0.0035,-0.0092
SELL,0.1519,0.2401,-0.0027
BUY,0.0761,0.1166,-0.0067
SELL,-0.0158,0.0002,-0.019
BUY,-0.0356,0.0306,-0.0465
SELL,-0.0757,0.0417,-0.079
BUY,-0.0623,0.0041,-0.065
SELL,0.3398,0.482,-0.0416
BUY,0.0082,0.0722,-0.0316
SELL,-0.0163,0.0412,-0.0184
BUY,-0.0373,0.0058,-0.0473
SELL,-0.0114,0.0408,-0.0142
BUY,-0.0206,0.0021,-0.023
SELL,-0.0175,0,-0.0177
BUY,-0.0145,0.0056,-0.0176
SELL,-0.01,0.1402,-0.018
BUY,-0.0174,0.056,-0.0215
SELL,-0.0073,0.0329,-0.0115
BUY,0.0791,0.146,-0.0024
SELL,-0.0088,0.0221,-0.0202
BUY,-0.0134,0.0087,-0.0147
SELL,0.1006,0.2566,-0.0106
BUY,-0.0511,0.019,-0.0579
SELL,-0.0329,0.0882,-0.0387
BUY,0.0125,0.0726,-0.0076
SELL,0.0173,0.0548,-0.0183
BUY,0.0077,0.059,-0.0008
SELL,-0.0124,0.0323,-0.0151
BUY,-0.0136,0.0137,-0.0177
SELL,-0.0035,0.0197,-0.0095
BUY,-0.0102,0.0231,-0.0134
SELL,-0.0011,0.0548,-0.0041
BUY,-0.0489,0.0196,-0.0503
SELL,0.0244,0.0947,-0.0261
BUY,0.2274,0.2972,-0.0035
SELL,-0.0178,0.0096,-0.0174
BUY,0.0289,0.0816,-0.003
SELL,0.0355,0.0763,-0.0008
BUY,-0.0009,0.0222,-0.0044
SELL,-0.0063,0.0454,-0.0073
BUY,0.1492,0.1908,-0.0196
SELL,-0.027,0.0305,-0.0112
BUY,0.0101,0.0661,-0.0079
SELL,-0.0211,0.0063,-0.0219
BUY,-0.0069,0.0292,-0.0085
SELL,-0.0007,0.0534,-0.0171
BUY,0.0544,0.0889,-0.0008
SELL,-0.0121,0,-0.0132
BUY,-0.0188,0.0069,-0.0227
SELL,-0.0048,0.03072,-0.0048
BUY,-0.0154,0.0108,-0.0153
SELL,0.0017,0.0379,-0.0023
BUY,0.0043,0.0349,-0.0006
SELL,-0.0079,0.0093,-0.0079
BUY,-0.0116,0.017,-0.0112
SELL,-0.0108,0.0131,-0.0104
BUY,-0.0193,0.0036,-0.0205
SELL,-0.0035,0.0222,-0.0143
BUY,-0.0104,0.0022,-0.0099
SELL,-0.0269,0,-0.0287
BUY,0.0003,0.0383,-0.0089
SELL,-0.0092,0.0045,-0.009
BUY,0.0374,0.0806,-0.0013
SELL,0.1024,0.1691,-0.0077
BUY,0.0345,0.0623,-0.0006
SELL,-0.0063,0.0108,-0.0081
BUY,-0.0063,0.0108,-0.0081
SELL,-0.0063,0.0274,-0.0105
BUY,0.0698,0.1644,-0.0119
SELL,-0.0266,0.0277,-0.0289
BUY,-0.0128,0.0481,-0.0241
SELL,-0.0062,0.0481,-0.0241
BUY,-0.0062,0.0244,-0.0145
SELL,0.0159,0.0538,-0.0085
BUY,0.3213,0.367,-0.0024
SELL,-0.0064,0.0295,-0.0086
BUY,0.0576,0.1201,-0.0043
SELL,-0.0239,0.0032,-0.0305
BUY,0.023,0.1008,-0.0186
SELL,0.0058,0.0454,-0.0223
BUY,0.0002,0.028,-0.0029
SELL,-0.0077,0.07,-0.0128
BUY,-0.0239,0.0084,-0.029
SELL,-0.0167,0.0043,-0.0162
BUY,-0.0119,0.0082,-0.0128
SELL,-0.0142,0.0309,-0.018
BUY,-0.0043,0.035,-0.0356
SELL,-0.0028,0.0286,-0.0123
BUY,0.0452,0.1141,-0.0082
SELL,0.0018,0.0394,-0.0113
BUY,-0.007,0.0041,-0.007
SELL,-0.0146,0.0069,-0.0165
BUY,-0.0164,0.001,-0.0159
SELL,-0.0074,0.0085,-0.0098
BUY,-0.001,0.0268,-0.0043
SELL,0.0788,0.1383,-0.0015
BUY,-0.0123,0.006,-0.0148
SELL,-0.0048,0,-0.0042
BUY,-0.0066,0.006,-0.0082
SELL,-0.0099,0.0003,-0.0115
BUY,-0.03,0.0142,-0.0317
SELL,-0.011,0.0369,-0.0384
BUY,-0.0189,0.0237,-0.024
SELL,0.02,0.0642,-0.0006
BUY,0.0083,0.0608,-0.0028
SELL,-0.0118,0.0004,-0.0134
BUY,-0.004,0.0001,-0.0052
SELL,-0.0053,0.0045,-0.0113
BUY,-0.006,0.0108,-0.0081
SELL,0.0964,0.275,-0.0016
BUY,-0.0216,0.0144,-0.0231
SELL,-0.0084,0.0001,-0.0115
BUY,-0.0038,0.0017,-0.0032
SELL,-0.0089,0.0341,-0.0148
BUY,-0.0295,0.0085,-0.0213
SELL,-0.002,0.0516,-0.0172
BUY,-0.017,0.028,-0.0172
SELL,0.0097,0.0602,-0.0158
BUY,-0.011,0.014,-0.0118
SELL,-0.024,0.0207,-0.0357
BUY,-0.0154,0.0161,-0.0171
SELL,0.0015,0.0524,-0.0091
BUY,-0.0169,0.0041,-0.0163
SELL,-0.0127,0.0054,-0.0146
BUY,-0.0113,0.0143,-0.0144
SELL,-0.0181,0.0328,-0.0213
BUY,0.0026,0.0332,-0.0006
SELL,-0.0066,0,-0.0068
BUY,0.0308,0.0707,-0.0041
SELL,-0.0186,0.0113,-0.0231
BUY,-0.0112,0.0252,-0.0134
SELL,0.0471,0.0876,-0.0031
BUY,-0.021,0.0137,-0.0207
SELL,-0.0127,0.0271,-0.0136
BUY,-0.0134,0.0093,-0.0153
SELL,-0.0106,0.0254,-0.0243
BUY,-0.0147,0.0037,-0.0149
SELL,-0.0027,0.0251,-0.0083
BUY,-0.0115,0,-0.011
SELL,0.0767,0.1245,-0.0043
BUY,-0.013,0.0013,-0.0148
SELL,-0.0032,0.0607,-0.0053
BUY,-0.0119,0.0091,-0.0119
SELL,-0.0172,0.0121,-0.0166
BUY,0.0072,0.0451,-0.0051
SELL,-0.0084,0.0243,-0.0142
BUY,-0.022,0.0152,-0.0235
SELL,-0.0069,0.0216,-0.0114
BUY,-0.0064,0.0015,-0.0078
SELL,-0.0069,0.0259,-0.0077
BUY,-0.0136,0.0001,-0.0161
SELL,-0.011,0.0095,-0.0124
