Type,Profit %,Run-up %,Drawdown %
SELL,-0.0494,0.0112,-0.0502
BUY,0.139,0.2549,-0.0489
SELL,-0.0202,0.0882,-0.0213
BUY,0.0317,0.1018,-0.011
SELL,-0.0353,0.0192,-0.0365
BUY,-0.074,0.0148,-0.0775
SELL,-0.1108,0.0203,-0.1121
BUY,0.1441,0.2229,-0.0039
SELL,-0.0313,0.0381,-0.0337
BUY,-0.0179,0.0247,-0.0293
SELL,-0.0338,0.0054,-0.0344
BUY,-0.0346,0.0133,-0.0518
SELL,-0.0142,0.0136,-0.0187
BUY,0.132,0.2169,-0.0141
SELL,-0.0149,0.0212,-0.0147
BUY,-0.0192,0.0092,-0.0203
SELL,-0.0315,0.003,-0.0347
BUY,0.3216,0.5506,-0.0002
SELL,0.0917,0.1965,-0.1202
BUY,-0.0076,0.0121,-0.0095
SELL,-0.0123,0.0428,-0.0128
BUY,-0.0474,0.0651,-0.0585
SELL,-0.0658,0.0619,-0.0684
BUY,0.012,0.1658,-0.0367
SELL,-0.0268,0.0428,-0.027
BUY,-0.0282,0.0063,-0.0398
SELL,-0.014,0.0031,-0.0185
BUY,0.5334,0.7183,-0.014
SELL,0.014,0.1754,-0.0534
BUY,0.0896,0.2025,-0.1004
SELL,-0.0491,0.0507,-0.0734
BUY,-0.0117,0.0199,-0.013
SELL,0.053,0.1317,-0.0083
BUY,0.0456,0.0892,-0.0185
SELL,-0.0289,0.0029,-0.037
BUY,-0.0056,0.0209,-0.0202
SELL,-0.0057,0.0064,-0.0055
BUY,-0.0025,0.0116,-0.0069
SELL,0.0057,0.043,-0.0023
BUY,-0.0169,0.0155,-0.0209
SELL,0.0041,0.0387,-0.017
BUY,0.0743,0.131,-0.0032
SELL,-0.0064,0.0267,-0.0138
BUY,-0.0051,0.0064,-0.0063
SELL,0.1604,0.2405,-0.0023
BUY,0.0208,0.0883,-0.0035
SELL,-0.0266,0.0116,-0.0297
BUY,0.0393,0.0757,-0.0055
SELL,-0.0129,0.0077,-0.0164
BUY,-0.0084,0.031,-0.0106
SELL,-0.0493,0.0677,-0.0493
