SELL,-0.0259,0.0142,-0.0271
BUY,0.0813,0.1568,-0.0207
SELL,-0.0316,0.0389,-0.0344
BUY,-0.0262,0.0299,-0.0297
SELL,-0.0403,0.0122,-0.0399
BUY,0.0165,0.0559,-0.0101
SELL,-0.0218,0.0103,-0.0229
BUY,0.1243,0.1709,-0.0022
SELL,-0.038,0.0324,-0.0389
BUY,-0.02,0.0335,-0.0229
SELL,0.0557,0.1272,-0.0041
BUY,0.0496,0.1395,-0.0004
SELL,-0.058,0.0017,-0.0595
BUY,-0.0261,0.0094,-0.0297
SELL,-0.0176,0.0231,-0.0177
BUY,-0.0181,0.0091,-0.0215
SELL,0.0292,0.0727,-0.0198
BUY,0.2387,0.3244,-0.0037
SELL,-0.0426,0.0379,-0.044
BUY,-0.0402,0.0179,-0.0475
SELL,-0.0418,0.0034,-0.0441
BUY,0.3085,0.4681,-0.0125
SELL,-0.0678,0.1131,-0.0717
BUY,0.1516,0.2689,-0.0046
SELL,0.0508,0.2043,-0.0215
BUY,-0.0183,0.1083,-0.0279
SELL,-0.0475,0.0489,-0.067
BUY,-0.0602,0.0174,-0.0625
SELL,0.0409,0.1775,-0.0259
BUY,-0.0518,0.0373,-0.0563
SELL,-0.0187,0.0822,-0.033
BUY,0.0188,0.1933,-0.014
SELL,-0.0442,0.0268,-0.0442
BUY,0.0976,0.188,-0.04
SELL,-0.1496,0.0125,-0.1582
BUY,0.0643,0.1446,-0.027
SELL,-0.0654,0.0068,-0.0668
BUY,0.1093,0.1832,-0.0328
SELL,0.1382,0.215,-0.0092
BUY,0.0073,0.1151,-0.0041
SELL,-0.0419,0.0272,-0.0453
BUY,0.1665,0.2479,-0.0085
SELL,0.0031,0.0798,-0.0096
BUY,-0.0068,0.0437,-0.0248
SELL,0.0126,0.0746,-0.0214
BUY,-0.0502,0.0119,-0.0516
SELL,-0.0111,0.0604,-0.0123
BUY,0.0778,0.1131,-0.0053
SELL,-0.013,0.0343,-0.0125
BUY,-0.0264,0.0059,-0.0303
SELL,-0.0047,0.0385,-0.0172
BUY,0.0649,0.1213,-0.0084
SELL,0.1589,0.2393,-0.014
BUY,0.0204,0.0881,-0.0037
SELL,-0.0358,0.0114,-0.0366
BUY,0.0297,0.0759,-0.0004
SELL,-0.0095,0.0631,-0.01
BUY,-0.0024,0.0451,-0.0301
SELL,-0.0385,0.0109,-0.0399
BUY,-0.0383,0.0097,-0.038
SELL,-0.0177,0.0571,-0.0318
BUY,-0.0384,0.0036,-0.0404
SELL,0.3234,0.4811,-0.0037
BUY,-0.0078,0.0868,-0.0305
SELL,0.015,0.1071,-0.0059
BUY,0.0086,0.0724,-0.0314
SELL,0.0573,0.1646,-0.022
BUY,0.0233,0.0994,-0.0106
SELL,-0.0296,0.0331,-0.033
BUY,0.0594,0.1209,-0.0008
SELL,0.1206,0.2629,-0.0165
BUY,-0.0428,0.0335,-0.0598
SELL,-0.0137,0.0831,-0.0173
BUY,0.0285,0.0989,-0.0291
SELL,-0.0072,0.0467,-0.027
BUY,-0.0026,0.0421,-0.0069
SELL,-0.0137,0.038,-0.0154
BUY,-0.0269,0.0065,-0.0399
SELL,0.0023,0.055,-0.0028
BUY,-0.0145,0.0229,-0.0253
SELL,0.0358,0.0715,-0.0064
BUY,-0.028,0.0074,-0.0343
SELL,0.0195,0.0647,-0.0199
BUY,0.262,0.3335,-0.0041
SELL,-0.0398,0.0098,-0.0397
BUY,0.0071,0.0584,-0.0027
SELL,0.0307,0.0765,-0.0006
BUY,-0.0278,0.017,-0.0328
SELL,-0.0403,0.024,-0.041
BUY,0.1259,0.1776,-0.0021
SELL,-0.0249,0.0214,-0.027
BUY,-0.0023,0.0528,-0.004
SELL,-0.0399,0.0065,-0.0459
BUY,-0.0315,0.0104,-0.0315
SELL,-0.0072,0.0471,-0.0239
BUY,0.0521,0.0891,-0.0006
SELL,-0.0105,0.0351,-0.011
BUY,-0.0394,0.0003,-0.0391
SELL,-0.0199,0.0238,-0.022
BUY,-0.0081,0.0278,-0.0119
SELL,-0.0125,0.0291,-0.0162
BUY,0.0477,0.0911,-0.0087
SELL,0.093,0.1693,-0.0075
BUY,-0.0232,0.0023,-0.0244
SELL,-0.0274,0.0039,-0.0316
BUY,-0.0371,0.0023,-0.0377
SELL,-0.0272,0.028,-0.0519
BUY,0.0242,0.0588,-0.0038
SELL,-0.0307,0.0028,-0.0304
BUY,-0.0216,0.0098,-0.0247
SELL,0.0716,0.1658,-0.0102
BUY,-0.0262,0.0279,-0.0287
SELL,-0.0204,0.0483,-0.0239
BUY,-0.0345,0.0166,-0.0353
SELL,-0.0177,0.0334,-0.0251
BUY,0.2967,0.3501,-0.0039
SELL,-0.0303,0.0319,-0.0305
BUY,0.0399,0.101,-0.0106
SELL,-0.0343,0.0034,-0.0372
BUY,0.0127,0.0894,-0.0287
SELL,0.0041,0.0456,-0.0221
BUY,-0.0206,0.0261,-0.0262
SELL,-0.0042,0.0471,-0.0265
BUY,-0.0051,0.0314,-0.0561
SELL,-0.024,0.0229,-0.0264
BUY,-0.01,0.0335,-0.037
SELL,-0.0069,0.0244,-0.0166
BUY,0.0457,0.1143,-0.008
SELL,-0.0053,0.0396,-0.0111
BUY,-0.0167,0.0176,-0.0246
SELL,0.0727,0.1324,-0.005
BUY,-0.0239,0.01,-0.0289
SELL,-0.0002,0.0469,-0.0276
BUY,-0.0185,0.0239,-0.0238
SELL,0.0204,0.0644,-0.0004
BUY,0.002,0.061,-0.0026
SELL,0.097,0.2653,-0.0307
BUY,-0.0253,0.0288,-0.0256
SELL,-0.0039,0.0504,-0.0404
BUY,-0.0218,0.0275,-0.0276
SELL,-0.007,0.0562,-0.0187
BUY,-0.0223,0.0163,-0.0244
SELL,-0.0055,0.0456,-0.0086
BUY,-0.0322,0.01,-0.037
SELL,-0.0355,0.0161,-0.0389
BUY,0.0426,0.0808,-0.0004
SELL,-0.0164,0.0133,-0.0211
BUY,-0.0203,0.0254,-0.0238
SELL,0.0269,0.079,-0.0031
BUY,-0.0321,0.0017,-0.032
SELL,-0.0179,0.0273,-0.0219
BUY,-0.0231,0.0052,-0.0243
SELL,-0.015,0.0209,-0.0174
BUY,-0.0349,0.0039,-0.0393
SELL,0.0675,0.1138,-0.0296
BUY,-0.0395,0.0036,-0.0394
SELL,-0.0382,0.0326,-0.0426
BUY,0.005,0.0453,-0.0049
SELL,-0.0167,0.022,-0.0173
BUY,-0.0189,0.0092,-0.0188
SELL,0.0046,0.0342,-0.0212
BUY,-0.0261,0.0259,-0.0259
SELL,0.0984,0.2027,-0.0055
BUY,-0.0363,0.0454,-0.0402
SELL,-0.0529,0.01,-0.0552
BUY,-0.0254,0.0257,-0.025
SELL,-0.0416,0.0049,-0.0436
BUY,-0.0174,0.025,-0.0192
SELL,-0.0083,0.0377,-0.0093
BUY,0.129,0.2075,-0.0185
SELL,-0.0141,0.0313,-0.0241
BUY,-0.0068,0.0302,-0.0133
SELL,0.1028,0.1587,-0.0033
BUY,-0.0325,0.0135,-0.0348
SELL,-0.0235,0.0844,-0.0676
BUY,-0.021,0.0514,-0.0229
SELL,-0.0601,0.0163,-0.0612
BUY,0.0676,0.139,-0.0058
SELL,0.0734,0.1263,-0.0046
BUY,0.0026,0.0802,-0.0025
SELL,-0.0073,0.0495,-0.0196
BUY,0.0344,0.0665,-0.0426
SELL,-0.0199,0.0173,-0.0199
BUY,0.1036,0.1482,-0.0053
SELL,-0.0131,0.0453,-0.0196
BUY,-0.0246,0.0021,-0.0281
SELL,-0.0207,0.0053,-0.0219
BUY,-0.0232,0.016,-0.0254
SELL,-0.0336,0.0113,-0.0342
BUY,-0.0272,0.0005,-0.0286
SELL,0.0615,0.0825,-0.0057
BUY,-0.0164,0.0079,-0.0176
SELL,0.0246,0.0751,-0.0009
BUY,-0.033,0.0063,-0.0337
SELL,-0.0207,0.0371,-0.0283
BUY,-0.0052,0.0535,-0.0088
SELL,0.0087,0.0592,-0.0066
BUY,-0.0237,0.0143,-0.0249
SELL,-0.0115,0.0404,-0.014
BUY,-0.0237,0.0162,-0.0268
SELL,0.0021,0.0361,-0.0161
BUY,-0.0147,0.0121,-0.017
SELL,-0.0148,0.0163,-0.0158
BUY,-0.0017,0.0345,-0.0048
SELL,0.2048,0.3456,-0.0004
BUY,-0.0612,0.008,-0.0609
SELL,-0.047,0.0093,-0.0502
BUY,-0.031,0.0406,-0.0392
SELL,-0.0481,0.0017,-0.0507
BUY,-0.0384,0.0013,-0.0414
SELL,-0.0209,0.0299,-0.0244
BUY,-0.0276,0.021,-0.0333
SELL,-0.0286,0.0207,-0.0307
BUY,-0.031,0.0172,-0.0334
SELL,-0.0314,0.0192,-0.0333
BUY,-0.0322,0.0044,-0.0318
SELL,-0.0011,0.0399,-0.0217
BUY,0.0589,0.111,-0.004
SELL,0.027,0.053,-0.0013
BUY,0.0032,0.0561,-0.0085
SELL,-0.031,0.0333,-0.0419
BUY,-0.0355,0.016,-0.0405
SELL,0.3217,0.4137,-0.0121
BUY,-0.0171,0.0677,-0.0354
SELL,-0.0462,0.0117,-0.0472
BUY,-0.0098,0.046,-0.0118
SELL,0.011,0.1033,-0.0236
