Signal,Profit %,Run-up %,Drawdown %
SELL,9.17,19.65,12.02
BUY,-0.76,1.21,0.95
SELL,-1.23,4.28,1.28
BUY,-4.74,6.51,5.85
SELL,-6.58,6.19,6.84
BUY,1.2,16.58,3.67
SELL,-2.68,4.28,2.7
BUY,-2.82,0.63,3.98
SELL,-1.4,0.31,1.85
BUY,53.34,71.83,1.4
SELL,1.4,17.54,5.34
BUY,8.96,20.25,10.04
SELL,-4.91,5.07,7.34
BUY,-1.17,1.99,1.3
SELL,5.3,13.17,0.83
BUY,4.56,8.92,1.85
SELL,-2.89,0.29,3.7
BUY,-0.56,2.09,2.02
SELL,-0.57,0.64,0.55
BUY,-0.25,1.16,0.69
SELL,0.57,4.3,0.23
BUY,-1.69,1.55,2.09
SELL,0.41,3.87,1.7
BUY,7.43,13.1,0.32
SELL,-0.64,2.67,1.38
BUY,-0.51,0.64,0.63
SELL,16.04,24.05,0.23
BUY,2.08,8.83,0.35
SELL,-2.66,1.16,2.97
BUY,3.93,7.57,0.55
SELL,-1.29,0.77,1.64
BUY,-0.84,3.1,1.06
SELL,-4.93,6.77,4.93
BUY,-6.43,0.15,6.74
SELL,34.05,48.24,4.12
BUY,2.15,7.26,3.12
SELL,-0.3,5.34,1.46
BUY,-3.66,0.62,4.69
SELL,-1.06,4.12,1.38
BUY,-1.64,0.25,1.77
SELL,-1.33,0.63,1.38
BUY,-1.37,0.6,1.72
SELL,-0.92,14.06,1.76
BUY,-1.66,5.64,2.11
SELL,-0.65,3.33,1.11
BUY,8.82,14.64,0.2
SELL,-0.31,2.98,1.22
BUY,-0.42,0.64,0.53
SELL,10.97,26.53,0.34
BUY,-3.47,1.76,3.55
SELL,-1.36,10.49,1.97
BUY,1.81,7.3,0.72
SELL,-0.61,1.98,1.64
BUY,-1.34,0.04,1.48
SELL,1.55,5.27,0.02
BUY,2.03,5.94,0.04
SELL,0.01,4.39,0.3
BUY,-1.35,1.41,1.6
SELL,-0.35,1.94,0.99
BUY,-0.94,2.35,1.3
SELL,1.58,5.52,0.02
BUY,-0.75,3.68,1.21
SELL,0.93,4.84,0.5
BUY,-0.7,0.94,0.87
SELL,1.6,5.01,0.11
BUY,-0.93,0.37,0.96
SELL,-1.17,2.06,1.15
BUY,-4.69,0.76,4.76
SELL,0,4.6,1.17
BUY,26.24,33.37,0.39
SELL,-3.04,1,3.02
BUY,2.42,6.78,0.41
SELL,4.99,8.38,1.55
BUY,0.08,2.93,0.24
SELL,-1.11,4.05,1.25
BUY,15.78,19.12,1.92
SELL,0.46,3.74,1.61
BUY,2.58,6.64,0.24
SELL,-1.68,0.07,1.73
BUY,-1.25,0.37,1.53
SELL,-0.51,2.52,0.75
BUY,-0.99,2.57,1.19
SELL,1.29,5.38,1.67
BUY,5.37,8.75,0.81
SELL,-0.96,0.42,1.23
BUY,1.07,3.72,0.2
SELL,-0.55,0.39,0.53
BUY,-0.63,0.4,1.01
SELL,-0.62,0.86,0.76
BUY,-1.37,0.73,1.37
SELL,0.03,3.53,0.02
BUY,-1.46,1.12,1.49
SELL,0.25,3.83,0.19
BUY,0.55,3.53,0.02
SELL,-0.92,1.01,1.19
BUY,-0.58,1.49,0.67
SELL,-0.24,2.1,0.61
BUY,-1.44,0.4,1.59
SELL,0.39,2.67,0.97
BUY,-0.71,0.51,0.7
SELL,-2.61,0,2.83
BUY,0.11,3.87,0.85
SELL,-1.93,0.49,1.93
BUY,0.15,3.18,0.55
SELL,-1.08,0.05,1.37
BUY,-0.86,0.42,0.84
SELL,-1.59,0.39,1.58
BUY,0.74,4.9,0.74
SELL,9.75,16.95,0.73
BUY,-1.84,0.7,1.99
SELL,-2.7,0.41,3.14
BUY,-2.4,0.25,2.54
SELL,-0.07,4.08,3.81
BUY,4.72,7.25,0.31
SELL,-0.95,0.64,1.01
BUY,-0.81,0.76,1.04
SELL,-0.54,1.46,0.67
BUY,-0.74,2.43,1.06
SELL,8.4,16.6,1
BUY,-1.3,4.17,1.56
SELL,-1.2,4.85,2.37
BUY,-0.54,2.48,1.41
SELL,1.36,5.42,0.81
BUY,-1.06,0.25,1.46
SELL,-0.74,2.67,0.91
BUY,12.45,16.43,0.2
SELL,-1.14,0.42,1.2
BUY,13.14,16.77,2.53
SELL,-0.4,0,0.56
BUY,2.53,5.85,1.57
SELL,-1.59,3.16,1.92
BUY,6.29,10.72,0.5
SELL,-0.68,2.64,1.37
BUY,2.38,10.12,1.82
SELL,0.85,4.58,2.19
BUY,0.63,3.05,0.3
SELL,-1.01,7.34,1.24
BUY,-2.94,0.03,3.49
SELL,-1.59,0.47,1.58
BUY,-1.11,0.86,1.24
SELL,-0.6,2.14,0.74
BUY,-2.83,0.01,3.28
SELL,-2.85,0.9,4.35
BUY,0.34,4.38,0.13
SELL,0.58,3.07,2.5
BUY,5.55,12.45,0.28
SELL,0.36,3.98,1.09
BUY,-0.9,0.54,1.25
SELL,-1.76,0.21,1.99
BUY,-1.65,0.14,1.83
SELL,-0.75,0.8,0.92
BUY,0.43,2.72,0.39
SELL,9.87,14.25,0.04
BUY,-0.9,0.62,1.15
SELL,-2.58,0.91,2.73
BUY,-1.34,0.64,1.53
SELL,-0.91,0.07,1.11
BUY,-0.93,1.46,1.04
SELL,1.02,5.67,1.71
BUY,-0.7,2.41,1.75
SELL,4.65,7.51,0.5
BUY,2.35,7.76,0.11
SELL,-1.23,0.23,1.98
BUY,-1.24,1.23,1.34
SELL,8.99,26.93,0.18
BUY,-2.02,1.51,2.24
SELL,-1.23,3.04,1.87
BUY,-2.27,0.89,2.61
SELL,0.49,5.78,1.45
BUY,-1.63,2.84,1.68
SELL,0.67,6.06,1.54
BUY,-1.4,1.05,1.52
SELL,-2.32,2.08,3.53
BUY,-1.46,1.65,1.67
SELL,1.67,5.28,0.87
BUY,-0.35,1.93,0.74
SELL,-0.54,0.26,0.55
BUY,-1.26,2.31,2.03
SELL,-1.36,2.31,1.91
BUY,1.91,4.82,0.12
SELL,-1.26,0.37,1.39
BUY,2.5,6.23,0.68
SELL,-1.6,1.35,2.09
BUY,-1.04,2.56,1.3
SELL,4.85,8.8,0.27
BUY,-0.65,0.04,0.82
SELL,-0.71,1.77,0.88
BUY,-0.94,1.41,1
SELL,-0.08,3.82,0.21
BUY,-1.26,0.97,1.49
SELL,-1.94,0.11,2.11
BUY,-2.11,0.44,2.39
SELL,-0.2,2.37,1.67
BUY,-0.9,1.41,0.88
SELL,-0.77,2.07,0.83
BUY,-1.49,0.51,1.89
SELL,-1.29,0.52,1.56
BUY,-4.45,0.22,5.38
SELL,5.59,9.28,0.36
BUY,-0.82,1.48,0.86
SELL,-0.82,0.48,0.87
BUY,-1.24,0.23,1.52
SELL,-1.32,4.86,1.39
BUY,-1.27,1.2,1.33
SELL,-2.06,0.84,2.04
BUY,0.8,4.55,0.47
SELL,-0.39,2.47,0.63
BUY,-0.89,1.93,1
SELL,-1.7,0,1.94
BUY,-0.94,0.4,0.95
SELL,1.25,3.78,0.8
BUY,-1.65,0.73,1.91
SELL,-1.34,1.31,1.64
BUY,-0.66,0.75,0.95
SELL,-1.02,0.99,1.2
BUY,-2.57,2.61,2.57
SELL,12.41,20.29,0.53
BUY,-0.8,7.59,1.4
SELL,-2.68,1.02,2.72
BUY,-0.54,1,0.86
SELL,-1.15,3.01,2.26
BUY,-0.66,4.53,1.17
SELL,-2.4,0.51,2.92
BUY,-0.04,4.25,0.25
SELL,0.32,3.79,0.31
BUY,16.18,22.09,0.73
SELL,-4.14,1.03,4.75
BUY,-5.41,0.94,6.28
SELL,1.04,3.34,2.18
BUY,-0.75,0.69,0.91
SELL,-1.28,0.98,1.26
BUY,1.89,4.78,0.76
SELL,12.64,16.59,1.04
BUY,-0.88,3.19,0.88
SELL,-1.69,9.01,6.1
BUY,-0.03,5.16,1.58
SELL,-1.2,0.39,1.35
BUY,-0.66,2.7,0.77
SELL,-3.27,4.15,3.4
BUY,8.35,13.92,0.56
SELL,-0.94,0.13,1.24
BUY,-0.66,0.14,0.7
SELL,-0.68,0.42,0.72
BUY,-1.08,1.19,1.35
SELL,9.45,12.83,0.15
BUY,-4.44,1.32,4.72
SELL,-4.73,0.37,5.53
BUY,2.98,8.99,0.03
SELL,0.76,4.93,0.16
BUY,-3.07,0.8,3.28
SELL,-1.04,2.95,1.98
BUY,-1.13,0.52,1.23
SELL,-0.86,0.61,1.09
BUY,-1.63,2.4,2.27
SELL,-1.81,0.24,1.9
BUY,5.02,8.69,0.54
SELL,-0.78,1.35,1.35
BUY,1.18,5.03,1.09
SELL,-1.07,0.12,1.08
BUY,11.38,14.07,0.87
SELL,-0.84,1.3,0.85
BUY,-1.04,0.52,1.33
