Type,Profit,Run up,Drawdown
SELL,-0.1058,0.0594,-0.1092
BUY,0.1747,0.2594,-0.1019
SELL,-0.0282,0.0315,-0.0278
BUY,0.5297,0.6814,-0.1537
SELL,-0.0191,0.0881,-0.0196
BUY,0.0349,0.1016,-0.0107
SELL,-0.0324,0.0218,-0.0322
BUY,-0.0884,0.014,-0.0922
SELL,-0.1555,0.0024,-0.1637
BUY,0.1186,0.1944,-0.0065
SELL,-0.031,0.0369,-0.0325
BUY,-0.0206,0.0291,-0.0384
SELL,-0.0191,0.014,-0.0201
BUY,0.1277,0.2133,-0.0187
SELL,-0.015,0.0201,-0.0143
BUY,-0.0192,0.0093,-0.0201
SELL,-0.0409,0.0027,-0.0411
BUY,0.3666,0.5357,-0.0008
SELL,-0.0058,0.1877,-0.0697
BUY,-0.0764,0.0002,-0.0838
SELL,0.0577,0.1691,-0.0242
BUY,-0.0177,0.0083,-0.0207
SELL,-0.0146,0.0395,-0.0144
BUY,-0.0352,0.0654,-0.0358
SELL,-0.0424,0.0717,-0.0444
BUY,0.0282,0.1753,-0.0262
SELL,-0.0209,0.0464,-0.0206
BUY,-0.028,0.005,-0.0386
SELL,-0.0148,0.0025,-0.0191
BUY,-0.0136,0.0004,-0.014
SELL,-0.0104,0.0005,-0.0103
BUY,0.3686,0.4692,-0.0035
SELL,-0.064,0.0064,-0.0655
BUY,0.0751,0.1824,-0.0314
SELL,0.0415,0.1886,-0.0346
BUY,-0.072,0.034,-0.0881
SELL,-0.0614,0.0007,-0.063
BUY,0.1203,0.2356,-0.015
SELL,-0.0647,0.0496,-0.0673
BUY,-0.0306,0.0069,-0.0574
SELL,0.0486,0.1287,-0.0075
BUY,-0.0053,0.0275,-0.0206
SELL,-0.0203,0,-0.0226
BUY,0.0278,0.0694,-0.0013
SELL,-0.0277,0.0027,-0.0372
BUY,-0.0118,0.0063,-0.0156
SELL,-0.0088,0.0066,-0.0137
BUY,-0.003,0.0231,-0.0063
SELL,-0.012,0.0034,-0.0119
BUY,-0.0103,0.0066,-0.0109
SELL,0.0123,0.0387,-0.0057
BUY,-0.0056,0.0244,-0.0094
SELL,0.0057,0.0393,-0.014
BUY,0.0207,0.073,-0.0036
SELL,-0.034,0.0011,-0.0333
BUY,0.0182,0.0706,-0.0219
SELL,0.1593,0.2386,-0.0118
BUY,0.0213,0.0875,-0.0046
SELL,-0.0244,0.012,-0.0277
BUY,0.0406,0.0759,-0.004
SELL,-0.0095,0.0073,-0.0138
BUY,-0.0066,0.0018,-0.0068
SELL,-0.01,0.0071,-0.0128
BUY,-0.008,0.0306,-0.0102
SELL,0.3627,0.4925,-0.0493
BUY,0.0467,0.0903,-0.0159
SELL,0.0046,0.0597,-0.0076
